dispersion;ouverture_0;ouverture_5;ouverture_10;ouverture_15;ouverture_20;ouverture_25;ouverture_30;ouverture_35;ouverture_40;ouverture_45;ouverture_50;ouverture_55;ouverture_60;ouverture_65;ouverture_70;ouverture_75;ouverture_80;ouverture_85;ouverture_90;ouverture_95;ouverture_100
32,2;0;0,64;1,28;1,92;2,57;3,23;3,91;4,6;5,32;6,06;6,84;7,66;8,54;9,48;10,52;11,68;13,01;14,62;16,72;19,93;35,75
32,3;0;0,64;1,28;1,92;2,57;3,23;3,9;4,6;5,31;6,05;6,83;7,65;8,53;9,47;10,5;11,66;12,99;14,6;16,69;19,9;35,68
32,4;0;0,64;1,28;1,92;2,57;3,23;3,9;4,6;5,31;6,05;6,83;7,65;8,53;9,47;10,5;11,66;12,99;14,6;16,69;19,9;35,68
32,5;0;0,64;1,27;1,91;2,56;3,22;3,89;4,58;5,29;6,04;6,81;7,63;8,5;9,44;10,47;11,62;12,95;14,55;16,64;19,84;35,53
32,6;0;0,64;1,27;1,91;2,56;3,21;3,89;4,57;5,29;6,03;6,8;7,62;8,49;9,42;10,45;11,6;12,93;14,53;16,61;19,81;35,46
32,7;0;0,64;1,27;1,91;2,55;3,21;3,88;4,57;5,28;6,02;6,79;7,6;8,47;9,41;10,44;11,59;12,91;14,51;16,58;19,77;35,39
32,8;0;0,63;1,27;1,9;2,55;3,2;3,87;4,56;5,27;6,01;6,78;7,59;8,46;9,39;10,42;11,57;12,89;14,48;16,56;19,74;35,31
32,9;0;0,63;1,27;1,9;2,55;3,2;3,87;4,56;5,27;6,01;6,78;7,59;8,46;9,39;10,42;11,57;12,89;14,48;16,56;19,74;35,31
33;0;0,63;1,26;1,9;2,54;3,19;3,86;4,55;5,25;5,99;6,76;7,57;8,43;9,37;10,39;11,53;12,85;14,44;16,51;19,68;35,35
33,1;0;0,63;1,26;1,89;2,54;3,19;3,86;4,54;5,25;5,98;6,75;7,56;8,42;9,35;10,37;11,52;12,83;14,42;16,48;19,65;35,29
33,2;0;0,63;1,26;1,89;2,53;3,18;3,85;4,53;5,24;5,97;6,74;7,55;8,41;9,34;10,36;11,5;12,81;14,4;16,46;19,62;35,23
33,3;0;0,63;1,26;1,89;2,53;3,18;3,84;4,53;5,23;5,96;6,73;7,53;8,4;9,32;10,34;11,48;12,79;14,38;16,43;19,59;35,16
33,4;0;0,63;1,26;1,89;2,53;3,18;3,84;4,53;5,23;5,96;6,73;7,53;8,4;9,32;10,34;11,48;12,79;14,38;16,43;19,59;35,16
33,5;0;0,63;1,25;1,88;2,52;3,17;3,83;4,51;5,21;5,94;6,71;7,51;8,37;9,3;10,31;11,45;12,75;14,33;16,38;19,53;35,03
33,6;0;0,63;1,25;1,88;2,52;3,17;3,83;4,51;5,21;5,94;6,7;7,5;8,36;9,28;10,29;11,43;12,74;14,31;16,36;19,5;34,97
33,7;0;0,63;1,25;1,88;2,51;3,16;3,82;4,5;5,2;5,93;6,69;7,49;8,34;9,27;10,28;11,41;12,72;14,29;16,33;19,47;34,9
33,8;0;0,62;1,25;1,87;2,51;3,16;3,82;4,49;5,19;5,92;6,68;7,48;8,33;9,25;10,26;11,39;12,7;14,27;16,31;19,45;34,84
33,9;0;0,62;1,25;1,87;2,51;3,16;3,82;4,49;5,19;5,92;6,68;7,48;8,33;9,25;10,26;11,39;12,7;14,27;16,31;19,45;34,84
34;0;0,62;1,24;1,87;2,5;3,15;3,8;4,48;5,18;5,9;6,66;7,46;8,31;9,23;10,23;11,36;12,66;14,22;16,26;19,39;34,71
34,1;0;0,62;1,24;1,87;2,5;3,14;3,8;4,47;5,17;5,89;6,65;7,45;8,3;9,21;10,22;11,34;12,64;14,2;16,24;19,36;34,64
34,2;0;0,62;1,24;1,86;2,5;3,14;3,79;4,47;5,16;5,88;6,64;7,43;8,28;9,2;10,2;11,33;12,62;14,18;16,21;19,33;34,57
34,3;0;0,62;1,24;1,86;2,49;3,13;3,79;4,46;5,15;5,87;6,63;7,42;8,27;9,19;10,19;11,31;12,6;14,16;16,19;19,3;34,5
34,4;0;0,62;1,24;1,86;2,49;3,13;3,79;4,46;5,15;5,87;6,63;7,42;8,27;9,19;10,19;11,31;12,6;14,16;16,19;19,3;34,5
34,5;0;0,62;1,23;1,86;2,48;3,12;3,78;4,45;5,14;5,86;6,61;7,4;8,25;9,16;10,16;11,28;12,57;14,12;16,14;19,24;34,54
34,6;0;0,62;1,23;1,85;2,48;3,12;3,77;4,44;5,13;5,85;6,6;7,39;8,23;9,15;10,14;11,26;12,55;14,1;16,12;19,22;34,48
34,7;0;0,62;1,23;1,85;2,48;3,11;3,77;4,43;5,12;5,84;6,59;7,38;8,22;9,13;10,13;11,24;12,53;14,08;16,09;19,19;34,42
34,8;0;0,62;1,23;1,85;2,47;3,11;3,76;4,43;5,12;5,83;6,58;7,37;8,21;9,12;10,11;11,23;12,51;14,06;16,07;19,16;34,36
34,9;0;0,62;1,23;1,85;2,47;3,11;3,76;4,43;5,12;5,83;6,58;7,37;8,21;9,12;10,11;11,23;12,51;14,06;16,07;19,16;34,36
35;0;0,61;1,23;1,84;2,47;3,1;3,75;4,41;5,1;5,81;6,56;7,35;8,19;9,09;10,08;11,2;12,47;14,02;16,02;19,1;34,24
35,1;0;0,61;1,22;1,84;2,46;3,1;3,74;4,41;5,09;5,81;6,55;7,34;8,18;9,08;10,07;11,18;12,46;14;16;19,08;34,18
35,2;0;0,61;1,22;1,84;2,46;3,09;3,74;4,4;5,09;5,8;6,54;7,33;8,16;9,07;10,06;11,16;12,44;13,98;15,98;19,05;34,12
35,3;0;0,61;1,22;1,83;2,46;3,09;3,73;4,4;5,08;5,79;6,53;7,32;8,15;9,05;10,04;11,15;12,42;13,96;15,95;19,02;34,06
35,4;0;0,61;1,22;1,83;2,46;3,09;3,73;4,4;5,08;5,79;6,53;7,32;8,15;9,05;10,04;11,15;12,42;13,96;15,95;19,02;34,06
35,5;0;0,61;1,22;1,83;2,45;3,08;3,72;4,38;5,06;5,77;6,51;7,3;8,13;9,03;10,01;11,11;12,39;13,92;15,91;18,97;33,94
35,6;0;0,61;1,22;1,83;2,45;3,07;3,72;4,38;5,06;5,76;6,5;7,29;8,12;9,01;10;11,1;12,37;13,9;15,89;18,94;33,87
35,7;0;0,61;1,21;1,82;2,44;3,07;3,71;4,37;5,05;5,76;6,5;7,27;8,11;9;9,98;11,08;12,35;13,88;15,86;18,91;33,81
35,8;0;0,61;1,21;1,82;2,44;3,07;3,71;4,36;5,04;5,75;6,49;7,26;8,09;8,99;9,97;11,07;12,33;13,86;15,84;18,88;33,74
35,9;0;0,61;1,21;1,82;2,44;3,07;3,71;4,36;5,04;5,75;6,49;7,26;8,09;8,99;9,97;11,07;12,33;13,86;15,84;18,88;33,74
36;0;0,61;1,21;1,82;2,43;3,06;3,7;4,35;5,03;5,73;6,47;7,24;8,07;8,96;9,94;11,04;12,3;13,82;15,8;18,83;33,79
36,1;0;0,6;1,21;1,81;2,43;3,05;3,69;4,35;5,02;5,72;6,46;7,23;8,06;8,95;9,93;11,02;12,28;13,8;15,77;18,81;33,73
36,2;0;0,6;1,21;1,81;2,42;3,05;3,69;4,34;5,02;5,72;6,45;7,22;8,05;8,94;9,91;11,01;12,26;13,78;15,75;18,78;33,67
36,3;0;0,6;1,2;1,81;2,42;3,04;3,68;4,33;5,01;5,71;6,44;7,21;8,04;8,93;9,9;10,99;12,25;13,76;15,73;18,75;33,62
36,4;0;0,6;1,2;1,81;2,42;3,04;3,68;4,33;5,01;5,71;6,44;7,21;8,04;8,93;9,9;10,99;12,25;13,76;15,73;18,75;33,62
36,5;0;0,6;1,2;1,8;2,41;3,04;3,67;4,32;4,99;5,69;6,42;7,19;8,02;8,9;9,87;10,96;12,21;13,72;15,69;18,7;33,51
36,6;0;0,6;1,2;1,8;2,41;3,03;3,67;4,32;4,99;5,68;6,41;7,18;8;8,89;9,86;10,95;12,2;13,7;15,66;18,67;33,45
36,7;0;0,6;1,2;1,8;2,41;3,03;3,66;4,31;4,98;5,68;6,41;7,17;7,99;8,88;9,85;10,93;12,18;13,68;15,64;18,65;33,39
36,8;0;0,6;1,2;1,8;2,4;3,02;3,66;4,3;4,97;5,67;6,4;7,16;7,98;8,87;9,83;10,91;12,16;13,67;15,62;18,62;33,33
36,9;0;0,6;1,2;1,8;2,4;3,02;3,66;4,3;4,97;5,67;6,4;7,16;7,98;8,87;9,83;10,91;12,16;13,67;15,62;18,62;33,33
37;0;0,6;1,19;1,79;2,4;3,02;3,65;4,29;4,96;5,65;6,38;7,14;7,96;8,84;9,81;10,89;12,13;13,63;15,58;18,57;33,21
37,1;0;0,6;1,19;1,79;2,4;3,01;3,64;4,29;4,95;5,65;6,37;7,14;7,95;8,83;9,79;10,87;12,11;13,61;15,56;18,55;33,16
37,2;0;0,6;1,19;1,79;2,39;3,01;3,64;4,28;4,95;5,64;6,36;7,13;7,94;8,82;9,78;10,86;12,1;13,59;15,54;18,52;33,09
37,3;0;0,59;1,19;1,78;2,39;3;3,63;4,27;4,94;5,63;6,35;7,12;7,93;8,8;9,77;10,84;12,08;13,57;15,51;18,49;33,03
37,4;0;0,59;1,19;1,78;2,39;3;3,63;4,27;4,94;5,63;6,35;7,12;7,93;8,8;9,77;10,84;12,08;13,57;15,51;18,49;33,03
37,5;0;0,59;1,18;1,78;2,38;3;3,62;4,26;4,93;5,62;6,34;7,1;7,91;8,78;9,74;10,81;12,05;13,54;15,47;18,44;32,91
37,6;0;0,59;1,18;1,78;2,38;2,99;3,62;4,26;4,92;5,61;6,33;7,09;7,9;8,77;9,73;10,8;12,03;13,52;15,45;18,42;33,02
37,7;0;0,59;1,18;1,77;2,38;2,99;3,61;4,25;4,91;5,6;6,32;7,08;7,89;8,76;9,71;10,78;12,02;13,5;15,43;18,4;32,97
37,8;0;0,59;1,18;1,77;2,37;2,98;3,61;4,25;4,91;5,59;6,31;7,07;7,88;8,75;9,7;10,77;12;13,48;15,41;18,37;32,92
37,9;0;0,59;1,18;1,77;2,37;2,98;3,61;4,25;4,91;5,59;6,31;7,07;7,88;8,75;9,7;10,77;12;13,48;15,41;18,37;32,92
38;0;0,59;1,18;1,77;2,37;2,98;3,6;4,24;4,89;5,58;6,29;7,05;7,85;8,72;9,67;10,74;11,97;13,45;15,37;18,32;32,81
38,1;0;0,59;1,17;1,77;2,36;2,97;3,59;4,23;4,89;5,57;6,29;7,04;7,84;8,71;9,66;10,73;11,95;13,43;15,35;18,3;32,76
38,2;0;0,59;1,17;1,76;2,36;2,97;3,59;4,22;4,88;5,56;6,28;7,03;7,83;8,7;9,65;10,71;11,94;13,41;15,33;18,27;32,7
38,3;0;0,59;1,17;1,76;2,36;2,96;3,58;4,22;4,87;5,56;6,27;7,02;7,82;8,69;9,64;10,7;11,92;13,39;15,31;18,25;32,65
38,4;0;0,59;1,17;1,76;2,35;2,96;3,58;4,21;4,87;5,55;6,26;7,01;7,81;8,68;9,62;10,68;11,9;13,37;15,29;18,22;32,6
38,5;0;0,59;1,17;1,76;2,35;2,96;3,57;4,21;4,86;5,54;6,25;7;7,8;8,67;9,61;10,67;11,89;13,36;15,27;18,2;32,54
38,6;0;0,58;1,17;1,75;2,35;2,95;3,57;4,2;4,86;5,53;6,24;6,99;7,79;8,65;9,6;10,65;11,87;13,34;15,25;18,18;32,48
38,7;0;0,58;1,17;1,75;2,34;2,95;3,56;4,2;4,85;5,53;6,24;6,99;7,78;8,64;9,59;10,64;11,86;13,32;15,23;18,15;32,43
38,8;0;0,58;1,16;1,75;2,34;2,94;3,56;4,19;4,84;5,52;6,23;6,98;7,77;8,63;9,57;10,63;11,84;13,3;15,21;18,13;32,37
38,9;0;0,58;1,16;1,75;2,34;2,94;3,55;4,19;4,84;5,51;6,22;6,97;7,76;8,62;9,56;10,61;11,83;13,29;15,19;18,1;32,31
39;0;0,58;1,16;1,74;2,34;2,94;3,55;4,18;4,83;5,51;6,21;6,96;7,75;8,61;9,55;10,6;11,81;13,27;15,17;18,08;32,25
39,1;0;0,58;1,16;1,74;2,33;2,93;3,55;4,17;4,82;5,5;6,2;6,95;7,74;8,6;9,54;10,59;11,8;13,25;15,15;18,06;32,36
39,2;0;0,58;1,16;1,74;2,33;2,93;3,54;4,17;4,82;5,49;6,2;6,94;7,73;8,59;9,52;10,57;11,78;13,24;15,13;18,04;32,31
39,3;0;0,58;1,16;1,74;2,33;2,93;3,54;4,16;4,81;5,48;6,19;6,93;7,72;8,58;9,51;10,56;11,77;13,22;15,11;18,01;32,26
39,4;0;0,58;1,16;1,74;2,32;2,92;3,53;4,16;4,81;5,48;6,18;6,92;7,71;8,57;9,5;10,55;11,75;13,2;15,09;17,99;32,21
39,5;0;0,58;1,15;1,73;2,32;2,92;3,53;4,15;4,8;5,47;6,17;6,91;7,7;8,55;9,49;10,53;11,74;13,19;15,07;17,97;32,16
39,6;0;0,58;1,15;1,73;2,32;2,91;3,52;4,15;4,79;5,46;6,17;6,9;7,69;8,54;9,48;10,52;11,72;13,17;15,05;17,94;32,11
39,7;0;0,58;1,15;1,73;2,32;2,91;3,52;4,14;4,79;5,46;6,16;6,9;7,68;8,53;9,46;10,51;11,71;13,15;15,03;17,92;32,06
39,8;0;0,58;1,15;1,73;2,31;2,91;3,51;4,14;4,78;5,45;6,15;6,89;7,67;8,52;9,45;10,49;11,69;13,14;15,01;17,9;32,01
39,9;0;0,58;1,15;1,73;2,31;2,9;3,51;4,13;4,78;5,44;6,14;6,88;7,66;8,51;9,44;10,48;11,68;13,12;14,99;17,87;31,96
40;0;0,57;1,15;1,72;2,31;2,9;3,51;4,13;4,77;5,44;6,13;6,87;7,65;8,5;9,43;10,47;11,66;13,1;14,98;17,85;31,9
40,1;0;0,57;1,14;1,72;2,3;2,9;3,5;4,12;4,76;5,43;6,13;6,86;7,64;8,49;9,42;10,45;11,65;13,09;14,96;17,83;31,85
40,2;0;0,57;1,14;1,72;2,3;2,89;3,5;4,12;4,76;5,42;6,12;6,85;7,63;8,48;9,4;10,44;11,63;13,07;14,94;17,81;31,8
40,3;0;0,57;1,14;1,72;2,3;2,89;3,49;4,11;4,75;5,42;6,11;6,84;7,63;8,47;9,39;10,43;11,62;13,05;14,92;17,78;31,74
40,4;0;0,57;1,14;1,71;2,29;2,89;3,49;4,11;4,75;5,41;6,1;6,84;7,62;8,46;9,38;10,41;11,6;13,04;14,9;17,76;31,69
40,5;0;0,57;1,14;1,71;2,29;2,88;3,48;4,1;4,74;5,4;6,1;6,83;7,61;8,45;9,37;10,4;11,59;13,02;14,88;17,74;31,63
40,6;0;0,57;1,14;1,71;2,29;2,88;3,48;4,1;4,73;5,4;6,09;6,82;7,6;8,44;9,36;10,39;11,57;13;14,86;17,72;31,58
40,7;0;0,57;1,14;1,71;2,29;2,87;3,47;4,09;4,73;5,39;6,08;6,81;7,59;8,43;9,35;10,37;11,56;12,99;14,84;17,7;31,69
40,8;0;0,57;1,14;1,71;2,28;2,87;3,47;4,09;4,72;5,38;6,07;6,8;7,58;8,42;9,33;10,36;11,55;12,97;14,83;17,67;31,65
40,9;0;0,57;1,13;1,7;2,28;2,87;3,47;4,08;4,72;5,38;6,07;6,79;7,57;8,41;9,32;10,35;11,53;12,96;14,81;17,65;31,6
41;0;0,57;1,13;1,7;2,28;2,86;3,46;4,08;4,71;5,37;6,06;6,79;7,56;8,4;9,31;10,34;11,52;12,94;14,79;17,63;31,55
41,1;0;0,57;1,13;1,7;2,28;2,86;3,46;4,07;4,7;5,36;6,05;6,78;7,55;8,38;9,3;10,32;11,5;12,92;14,77;17,61;31,5
41,2;0;0,57;1,13;1,7;2,27;2,86;3,45;4,07;4,7;5,36;6,04;6,77;7,54;8,37;9,29;10,31;11,49;12,91;14,75;17,59;31,45
41,3;0;0,57;1,13;1,7;2,27;2,85;3,45;4,06;4,69;5,35;6,04;6,76;7,53;8,36;9,28;10,3;11,47;12,89;14,74;17,56;31,41
41,4;0;0,56;1,13;1,69;2,27;2,85;3,45;4,06;4,69;5,34;6,03;6,75;7,52;8,35;9,27;10,29;11,46;12,88;14,72;17,54;31,36
41,5;0;0,56;1,13;1,69;2,26;2,85;3,44;4,05;4,68;5,34;6,02;6,74;7,51;8,34;9,25;10,27;11,45;12,86;14,7;17,52;31,31
41,6;0;0,56;1,12;1,69;2,26;2,84;3,44;4,05;4,68;5,33;6,01;6,74;7,5;8,33;9,24;10,26;11,43;12,84;14,68;17,5;31,26
41,7;0;0,56;1,12;1,69;2,26;2,84;3,43;4,04;4,67;5,32;6,01;6,73;7,5;8,32;9,23;10,25;11,42;12,83;14,66;17,48;31,21
41,8;0;0,56;1,12;1,69;2,26;2,84;3,43;4,04;4,66;5,32;6;6,72;7,49;8,31;9,22;10,24;11,4;12,81;14,65;17,46;31,15
41,9;0;0,56;1,12;1,68;2,25;2,83;3,42;4,03;4,66;5,31;5,99;6,71;7,48;8,3;9,21;10,22;11,39;12,8;14,63;17,43;31,1
42;0;0,56;1,12;1,68;2,25;2,83;3,42;4,03;4,65;5,3;5,99;6,7;7,47;8,29;9,2;10,21;11,38;12,78;14,61;17,41;31,05
42,1;0;0,56;1,12;1,68;2,25;2,83;3,42;4,02;4,65;5,3;5,98;6,7;7,46;8,28;9,19;10,2;11,36;12,77;14,59;17,39;31
42,2;0;0,56;1,12;1,68;2,25;2,82;3,41;4,02;4,64;5,29;5,97;6,69;7,45;8,27;9,18;10,19;11,35;12,75;14,57;17,37;30,94
42,3;0;0,56;1,11;1,68;2,24;2,82;3,41;4,01;4,64;5,29;5,96;6,68;7,44;8,26;9,17;10,17;11,34;12,74;14,56;17,35;31,06
42,4;0;0,56;1,11;1,67;2,24;2,82;3,4;4,01;4,63;5,28;5,96;6,67;7,43;8,25;9,15;10,16;11,32;12,72;14,54;17,33;31,02
42,5;0;0,56;1,11;1,67;2,24;2,81;3,4;4;4,63;5,27;5,95;6,66;7,42;8,24;9,14;10,15;11,31;12,71;14,52;17,31;30,97
42,6;0;0,56;1,11;1,67;2,23;2,81;3,4;4;4,62;5,27;5,94;6,66;7,42;8,23;9,13;10,14;11,3;12,69;14,51;17,29;30,93
42,7;0;0,56;1,11;1,67;2,23;2,81;3,39;3,99;4,62;5,26;5,94;6,65;7,41;8,23;9,12;10,13;11,28;12,68;14,49;17,27;30,88
42,8;0;0,56;1,11;1,67;2,23;2,8;3,39;3,99;4,61;5,25;5,93;6,64;7,4;8,22;9,11;10,11;11,27;12,66;14,47;17,25;30,83
42,9;0;0,55;1,11;1,66;2,23;2,8;3,38;3,98;4,6;5,25;5,92;6,63;7,39;8,21;9,1;10,1;11,26;12,65;14,45;17,23;30,79
43;0;0,55;1,11;1,66;2,22;2,8;3,38;3,98;4,6;5,24;5,91;6,62;7,38;8,2;9,09;10,09;11,24;12,63;14,44;17,21;30,74
43,1;0;0,55;1,1;1,66;2,22;2,79;3,38;3,98;4,59;5,24;5,91;6,62;7,37;8,19;9,08;10,08;11,23;12,62;14,42;17,19;30,69
43,2;0;0,55;1,1;1,66;2,22;2,79;3,37;3,97;4,59;5,23;5,9;6,61;7,36;8,18;9,07;10,07;11,22;12,6;14,4;17,17;30,65
43,3;0;0,55;1,1;1,66;2,22;2,79;3,37;3,97;4,58;5,22;5,89;6,6;7,35;8,17;9,06;10,06;11,2;12,59;14,39;17,15;30,6
43,4;0;0,55;1,1;1,65;2,21;2,78;3,36;3,96;4,58;5,22;5,89;6,59;7,35;8,16;9,05;10,04;11,19;12,57;14,37;17,13;30,55
43,5;0;0,55;1,1;1,65;2,21;2,78;3,36;3,96;4,57;5,21;5,88;6,59;7,34;8,15;9,04;10,03;11,18;12,56;14,35;17,11;30,5
43,6;0;0,55;1,1;1,65;2,21;2,78;3,36;3,95;4,57;5,21;5,87;6,58;7,33;8,14;9,03;10,02;11,16;12,54;14,34;17,09;30,45
43,7;0;0,55;1,1;1,65;2,21;2,77;3,35;3,95;4,56;5,2;5,87;6,57;7,32;8,13;9,02;10,01;11,15;12,53;14,32;17,07;30,4
43,8;0;0,55;1,1;1,65;2,2;2,77;3,35;3,94;4,56;5,19;5,86;6,56;7,31;8,12;9,01;10;11,14;12,51;14,3;17,05;30,34
43,9;0;0,55;1,09;1,64;2,2;2,77;3,35;3,94;4,55;5,19;5,85;6,56;7,3;8,11;9;9,99;11,13;12,5;14,29;17,03;30,47
44;0;0,55;1,09;1,64;2,2;2,76;3,34;3,93;4,55;5,18;5,85;6,55;7,3;8,1;8,99;9,97;11,11;12,49;14,27;17,01;30,43
44,1;0;0,55;1,09;1,64;2,2;2,76;3,34;3,93;4,54;5,18;5,84;6,54;7,29;8,09;8,98;9,96;11,1;12,47;14,25;16,99;30,38
44,2;0;0,55;1,09;1,64;2,19;2,76;3,33;3,93;4,54;5,17;5,83;6,53;7,28;8,08;8,97;9,95;11,09;12,46;14,24;16,97;30,34
44,3;0;0,55;1,09;1,64;2,19;2,75;3,33;3,92;4,53;5,16;5,83;6,53;7,27;8,07;8,95;9,94;11,08;12,44;14,22;16,95;30,3
44,4;0;0,55;1,09;1,63;2,19;2,75;3,33;3,92;4,53;5,16;5,82;6,52;7,26;8,07;8,94;9,93;11,06;12,43;14,21;16,93;30,25
44,5;0;0,54;1,09;1,63;2,19;2,75;3,32;3,91;4,52;5,15;5,81;6,51;7,25;8,06;8,93;9,92;11,05;12,42;14,19;16,91;30,21
44,6;0;0,54;1,09;1,63;2,18;2,75;3,32;3,91;4,52;5,15;5,81;6,5;7,25;8,05;8,92;9,91;11,04;12,4;14,17;16,89;30,16
44,7;0;0,54;1,08;1,63;2,18;2,74;3,32;3,9;4,51;5,14;5,8;6,5;7,24;8,04;8,91;9,9;11,03;12,39;14,16;16,87;30,12
44,8;0;0,54;1,08;1,63;2,18;2,74;3,31;3,9;4,51;5,14;5,79;6,49;7,23;8,03;8,9;9,88;11,01;12,37;14,14;16,85;30,07
44,9;0;0,54;1,08;1,63;2,18;2,74;3,31;3,89;4,5;5,13;5,79;6,48;7,22;8,02;8,89;9,87;11;12,36;14,13;16,83;30,02
45;0;0,54;1,08;1,62;2,17;2,73;3,3;3,89;4,5;5,12;5,78;6,47;7,21;8,01;8,88;9,86;10,99;12,34;14,11;16,82;29,98
45,1;0;0,54;1,08;1,62;2,17;2,73;3,3;3,89;4,49;5,12;5,77;6,47;7,21;8;8,87;9,85;10,98;12,33;14,09;16,8;29,93
45,2;0;0,54;1,08;1,62;2,17;2,73;3,3;3,88;4,49;5,11;5,77;6,46;7,2;7,99;8,86;9,84;10,96;12,32;14,08;16,78;29,88
45,3;0;0,54;1,08;1,62;2,17;2,72;3,29;3,88;4,48;5,11;5,76;6,45;7,19;7,98;8,85;9,83;10,95;12,3;14,06;16,76;29,83
45,4;0;0,54;1,08;1,62;2,16;2,72;3,29;3,87;4,48;5,1;5,76;6,45;7,18;7,98;8,85;9,82;10,94;12,29;14,05;16,74;29,95
45,5;0;0,54;1,07;1,62;2,16;2,72;3,29;3,87;4,47;5,1;5,75;6,44;7,17;7,97;8,84;9,81;10,93;12,28;14,03;16,72;29,91
45,6;0;0,54;1,07;1,61;2,16;2,71;3,28;3,86;4,47;5,09;5,74;6,43;7,17;7,96;8,83;9,8;10,92;12,26;14,02;16,7;29,87
45,7;0;0,54;1,07;1,61;2,16;2,71;3,28;3,86;4,46;5,08;5,74;6,42;7,16;7,95;8,82;9,79;10,9;12,25;14;16,69;29,82
45,8;0;0,54;1,07;1,61;2,15;2,71;3,27;3,86;4,46;5,08;5,73;6,42;7,15;7,94;8,81;9,77;10,89;12,24;13,98;16,67;29,78
45,9;0;0,54;1,07;1,61;2,15;2,71;3,27;3,85;4,45;5,07;5,72;6,41;7,14;7,93;8,8;9,76;10,88;12,22;13,97;16,65;29,74
46;0;0,54;1,07;1,61;2,15;2,7;3,27;3,85;4,45;5,07;5,72;6,4;7,13;7,92;8,79;9,75;10,87;12,21;13,95;16,63;29,7
46,1;0;0,54;1,07;1,6;2,15;2,7;3,26;3,84;4,44;5,06;5,71;6,4;7,13;7,91;8,78;9,74;10,86;12,2;13,94;16,61;29,66
46,2;0;0,53;1,07;1,6;2,15;2,7;3,26;3,84;4,44;5,06;5,7;6,39;7,12;7,91;8,77;9,73;10,84;12,18;13,92;16,59;29,61
46,3;0;0,53;1,07;1,6;2,14;2,69;3,26;3,83;4,43;5,05;5,7;6,38;7,11;7,9;8,76;9,72;10,83;12,17;13,91;16,58;29,57
46,4;0;0,53;1,06;1,6;2,14;2,69;3,25;3,83;4,43;5,05;5,69;6,38;7,1;7,89;8,75;9,71;10,82;12,16;13,89;16,56;29,53
46,5;0;0,53;1,06;1,6;2,14;2,69;3,25;3,83;4,42;5,04;5,69;6,37;7,1;7,88;8,74;9,7;10,81;12,14;13,88;16,54;29,48
46,6;0;0,53;1,06;1,6;2,14;2,69;3,25;3,82;4,42;5,03;5,68;6,36;7,09;7,87;8,73;9,69;10,8;12,13;13,86;16,52;29,44
46,7;0;0,53;1,06;1,59;2,13;2,68;3,24;3,82;4,41;5,03;5,67;6,35;7,08;7,86;8,72;9,68;10,78;12,12;13,85;16,5;29,39
46,8;0;0,53;1,06;1,59;2,13;2,68;3,24;3,81;4,41;5,02;5,67;6,35;7,07;7,85;8,71;9,67;10,77;12,1;13,83;16,48;29,34
46,9;0;0,53;1,06;1,59;2,13;2,68;3,24;3,81;4,4;5,02;5,66;6,34;7,06;7,85;8,7;9,66;10,76;12,09;13,82;16,47;29,3
47;0;0,53;1,06;1,59;2,13;2,67;3,23;3,81;4,4;5,01;5,66;6,33;7,06;7,84;8,69;9,65;10,75;12,08;13,8;16,45;29,41
47,1;0;0,53;1,06;1,59;2,12;2,67;3,23;3,8;4,39;5,01;5,65;6,33;7,05;7,83;8,68;9,64;10,74;12,06;13,79;16,43;29,38
47,2;0;0,53;1,06;1,59;2,12;2,67;3,23;3,8;4,39;5;5,64;6,32;7,04;7,82;8,67;9,63;10,73;12,05;13,77;16,42;29,34
47,3;0;0,53;1,05;1,58;2,12;2,67;3,22;3,79;4,38;5;5,64;6,31;7,03;7,81;8,66;9,62;10,72;12,04;13,76;16,4;29,3
47,4;0;0,53;1,05;1,58;2,12;2,66;3,22;3,79;4,38;4,99;5,63;6,31;7,03;7,8;8,66;9,61;10,7;12,03;13,74;16,38;29,26
47,5;0;0,53;1,05;1,58;2,12;2,66;3,22;3,79;4,37;4,99;5,63;6,3;7,02;7,8;8,65;9,6;10,69;12,01;13,73;16,36;29,22
47,6;0;0,53;1,05;1,58;2,11;2,66;3,21;3,78;4,37;4,98;5,62;6,29;7,01;7,79;8,64;9,59;10,68;12;13,71;16,34;29,18
47,7;0;0,53;1,05;1,58;2,11;2,65;3,21;3,78;4,37;4,98;5,61;6,29;7,01;7,78;8,63;9,58;10,67;11,99;13,7;16,33;29,14
47,8;0;0,53;1,05;1,58;2,11;2,65;3,21;3,77;4,36;4,97;5,61;6,28;7;7,77;8,62;9,57;10,66;11,97;13,69;16,31;29,09
47,9;0;0,53;1,05;1,57;2,11;2,65;3,2;3,77;4,36;4,97;5,6;6,27;6,99;7,76;8,61;9,56;10,65;11,96;13,67;16,29;29,05
48;0;0,52;1,05;1,57;2,1;2,65;3,2;3,77;4,35;4,96;5,6;6,27;6,98;7,75;8,6;9,55;10,64;11,95;13,66;16,28;29,01
48,1;0;0,52;1,05;1,57;2,1;2,64;3,2;3,76;4,35;4,95;5,59;6,26;6,98;7,75;8,59;9,54;10,63;11,94;13,64;16,26;28,97
48,2;0;0,52;1,04;1,57;2,1;2,64;3,19;3,76;4,34;4,95;5,58;6,25;6,97;7,74;8,58;9,53;10,61;11,92;13,63;16,24;28,92
